,Rank,Name,Neighborhood,URL
0,1,Monteverde,West Loop,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/monteverde/
1,2,Oriole,West Loop,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/oriole/
2,3,Galit,Lincoln Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/galit/
3,4,Avec,West Loop | River North,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/avec/
4,5,Kasama,East Ukrainian Village,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/kasama/
5,6,Virtue,Hyde Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/virtue/
6,7,HaiSous Vietnamese Kitchen,Pilsen,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/haisous-vietnamese-kitchen/
7,8,Shaw’s Crab House,River North,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/shaws-crab-house/
8,9,Dear Margaret,Lake View,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/dear-margaret/
9,10,0Boka,Lincoln Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/boka/
10,11,1Kyoten/Kyoten Next Door,Logan Square,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/kyoten-kyoten-next-door/
11,12,2Hermosa Restaurant,Hermosa,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/hermosa-restaurant/
12,13,3Warlord,Avondale,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/warlord/
13,14,4Elske,West Loop,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/elske/
14,15,5John’s Food & Wine,Lincoln Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/johns-food-and-wine/
15,16,6El Che Steakhouse & Bar,West Loop,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/el-che-steakhouse-and-bar/
16,17,7Ever,West Loop,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/ever/
17,18,8Obélix,River North,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/obelix/
18,19,9Sepia,West Loop,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/sepia/
19,20,0Lula Cafe,Logan Square,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/lula-cafe/
20,21,1Bungalow by Middle Brow,Logan Square,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/bungalow-by-middle-brow/
21,22,2Atelier,Lincoln Square,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/atelier/
22,23,3La Chaparrita Grocery,Little Village,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/la-chaparrita-grocery/
23,24,4Perilla,West Town,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/perilla/
24,25,5Superkhana International,Logan Square,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/superkhana-international/
25,26,6Birrieria Zaragoza,Archer Heights | Uptown,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/birrieria-zaragoza/
26,27,7Lem’s Bar-B-Q,Chatham,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/lems-bar-b-q/
27,28,8Indienne,River North,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/indienne/
28,29,9Demera,Uptown,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/demera/
29,30,0The Loyalist,West Loop,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/the-loyalist/
30,31,1JT’s Genuine Sandwich Shop,Irving Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/jts-genuine-sandwich-shop/
31,32,2The Duck Inn,Bridgeport,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/the-duck-inn/
32,33,3Mitsuwa Marketplace Food Court,Arlington Heights,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/mitsuwa-marketplace-food-court/
33,34,4Lilac Tiger,Wicker Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/lilac-tiger/
34,35,5Bavette’s Bar & Boeuf,River North,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/bavettes-bar-and-boeuf/
35,36,6Ocean Grill and Bar,East Pilsen,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/ocean-grill-and-bar/
36,37,7Daisies,Logan Square,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/daisies/
37,38,8Roux,Hyde Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/roux/
38,39,9S.K.Y.,Pilsen,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/sky/
39,40,0Schwa,Wicker Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/schwa/
40,41,1Boeufhaus,Humboldt Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/boeufhaus/
41,42,2New Village Gastro Pub,Northbrook,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/new-village-gastro-pub/
42,43,3Bayan Ko,Ravenswood,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/bayan-ko/
43,44,4Noon-O-Kabab,Albany Park | Highwood,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/noon-o-kabab/
44,45,5Spacca Napoli,Ravenswood,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/spacca-napoli/
45,46,6Shanghai Terrace,River North,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/shanghai-terrace/
46,47,7Daisy’s Po-Boy and Tavern,Hyde Park,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/daisys-po-boy-and-tavern/
47,48,8Dolo Restaurant and Bar,Chinatown,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/dolo-restaurant-and-bar/
48,49,9Redhot Ranch,Lake View | Logan Square | Bridgeport,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/redhot-ranch/
49,50,0Immm Rice & Beyond,Uptown,https://www.chicagomag.com/chicago-magazine/august-2024/50-best-restaurants/immmrice-and-beyond/
